pems_id,abs_pm,lat,lon
400321,28.047,37.6591279145205,-122.103296236585
401475,27.707,37.6547116736751,-122.100551036085
400256,27.337,37.6499032476044,-122.097567843572
400427,27.037,37.6461156905242,-122.094919568907
400352,26.677,37.641602,-122.091709
400035,26.467,37.6389244805165,-122.089784189886
400277,26.287,37.6366595254524,-122.088156940616
400634,26.027,37.6333836516309,-122.085817835635
400681,25.727,37.6296062153165,-122.083114922813
400038,25.177,37.6226677365032,-122.078177323924
401450,24.767,37.6174952917746,-122.074494050986
401240,24.477,37.6138507539291,-122.071872407475
401716,24.007,37.6079235635546,-122.067658723988
400006,23.767,37.604902230917,-122.065489806374
400853,23.327,37.5993581814403,-122.061531752194
400067,23.167,37.5973365761438,-122.060102831864
401614,22.777,37.5924254220979,-122.056593403166
401038,22.527,37.5892682433575,-122.054381766017
401073,22.227,37.585498988273,-122.051700369245
400839,21.817,37.5800030183964,-122.048863745972
400565,21.647,37.5776326413875,-122.048026577855
400186,21.277,37.5723617958666,-122.046218914597
400686,20.547,37.5637704568976,-122.038902461208
400451,20.347,37.5615582849835,-122.036546438167
401557,20.127,37.5591384157482,-122.033972275535
400248,19.097,37.5469329421641,-122.023224917537
400810,18.907,37.5445728949091,-122.021451616116
401362,17.527,37.5306693026511,-122.004042622585
400576,17.337,37.5291018252656,-122.001193131685
400778,16.517,37.5227912563619,-121.988517053071
400468,16.327,37.5213285596439,-121.985587119288
